AID,sex,intoxication,intercourse_dummy,intox_most_recent_sex
91506680,1,occasionally,0,never
91506727,2,occasionally,1,sober
91506773,2,occasionally,1,intoxicated
91506790,1,never,0,never
91506894,1,never,1,sober
91506902,2,occasionally,1,sober
91506935,2,never,0,never
91506944,1,never,1,sober
91506946,2,occasionally,1,sober
91506955,2,occasionally,0,never
91506993,2,never,0,never
91507010,1,occasionally,0,never
91507116,1,frequently,1,intoxicated
91507316,2,never,0,never
91507851,2,never,0,never
91507919,1,never,0,never
91508025,2,never,1,never
91508026,1,never,1,sober
91508122,2,never,1,never
91508123,1,occasionally,1,sober
91508169,1,never,0,never
91508381,2,never,1,never
91508387,1,never,1,sober
91508439,1,never,1,sober
91508522,2,never,1,never
91508526,2,occasionally,1,sober
91508665,2,occasionally,1,sober
91508766,2,never,1,never
91508836,1,occasionally,0,never
91508862,2,occasionally,1,sober
91508873,2,never,1,never
91508944,2,never,0,never
91508948,1,occasionally,1,sober
91540058,2,never,0,never
91540130,2,occasionally,1,sober
91540215,2,occasionally,0,never
91540453,1,frequently,0,never
91540457,2,never,0,never
91540913,1,never,0,never
91543707,2,never,0,never
91544201,2,never,1,never
91544202,2,occasionally,1,intoxicated
91544204,1,never,1,sober
91544302,1,never,1,never
91546074,2,never,0,never
91546175,1,occasionally,1,sober
91546574,2,occasionally,0,never
91546924,2,occasionally,1,sober
91570095,1,occasionally,0,never
91570110,1,occasionally,0,never
91570129,2,occasionally,0,never
91570181,2,occasionally,1,sober
91570187,1,occasionally,1,intoxicated
91570210,1,occasionally,0,never
91570232,1,occasionally,1,sober
91570291,2,never,0,never
91570395,2,never,1,sober
91570412,2,frequently,1,sober
91570425,1,never,0,never
91570428,1,occasionally,0,never
91570497,1,never,1,sober
91570523,2,never,1,intoxicated
91570524,2,never,1,never
91570525,1,never,0,never
91570528,1,never,0,never
91570553,1,never,1,sober
91570593,1,never,1,never
91570596,2,never,0,never
91570597,1,occasionally,1,sober
91570614,1,occasionally,0,never
91570621,2,never,0,never
91570684,1,occasionally,0,never
91570692,1,occasionally,0,never
91570729,2,occasionally,1,sober
91570776,2,never,0,never
91570789,1,never,0,never
91570817,1,never,1,never
91570823,2,never,NA,never
91570829,1,occasionally,1,sober
91570921,1,never,0,never
91570928,1,occasionally,1,sober
91570986,1,never,1,sober
91570993,2,never,1,sober
91570997,2,never,0,never
91571005,2,never,0,never
91571007,2,occasionally,1,sober
91571012,2,never,1,sober
91571013,2,never,0,never
91571014,1,never,0,never
91571070,1,never,1,never
91571074,2,never,1,sober
91571116,1,never,0,never
91571155,1,frequently,0,never
91571214,1,never,0,never
91571218,1,never,0,never
91571310,2,never,0,never
91571379,2,frequently,1,sober
91571467,1,frequently,1,intoxicated
91571505,1,never,0,never
91571560,1,never,1,never
91571561,2,never,0,never
91571601,2,never,0,never
91571605,1,occasionally,0,never
91571610,2,never,1,never
91571677,2,never,1,never
91571703,1,occasionally,1,sober
91571705,1,never,1,never
91571706,2,occasionally,1,sober
91571707,2,occasionally,1,sober
91571756,1,never,0,never
91571807,2,frequently,1,sober
91571812,2,never,0,never
91571817,1,never,0,never
91571857,1,never,1,sober
91571870,1,frequently,1,sober
91571876,2,never,1,sober
91571919,2,never,0,never
91571970,1,never,1,never
91572001,1,never,0,never
91572007,1,never,1,never
91572040,1,frequently,1,intoxicated
91572063,2,never,0,never
91572076,2,frequently,1,sober
91572117,1,occasionally,1,sober
91572122,1,never,1,sober
91572128,1,never,0,never
91572129,1,never,1,sober
91572145,2,occasionally,0,never
91572183,1,never,0,never
91572185,1,never,1,sober
91572190,1,never,0,never
91572193,1,never,0,never
91572195,1,occasionally,0,never
91572204,1,occasionally,0,never
91572214,2,never,0,never
91572221,1,never,0,never
91572222,2,never,0,never
91572229,2,never,0,never
91572282,2,never,0,never
91572283,1,never,1,never
91572288,2,never,0,never
91572289,2,never,0,never
91572292,1,occasionally,0,never
91572297,1,never,1,sober
91572321,2,occasionally,1,sober
91572328,2,never,0,never
91572346,2,occasionally,1,sober
91572369,2,never,0,never
91572373,2,never,0,never
91572381,2,never,0,never
91572385,2,never,0,never
91572387,2,never,0,never
91572389,2,never,1,never
91572396,1,never,0,never
91572408,1,occasionally,0,never
91572442,2,never,0,never
91572462,1,never,0,never
91572471,1,occasionally,1,intoxicated
91572841,1,never,1,sober
91572868,1,never,0,never
91572900,1,never,0,never
91572918,2,occasionally,1,sober
91572921,2,never,0,never
91572964,2,occasionally,1,sober
91572980,1,never,0,never
91572981,1,never,1,never
91572986,1,never,1,sober
91572989,2,frequently,1,intoxicated
91572999,1,never,0,never
91573010,1,occasionally,1,intoxicated
91573016,2,never,0,never
91573017,1,occasionally,0,never
91573031,1,never,0,never
91573099,1,frequently,1,intoxicated
91573234,2,never,0,never
91573248,2,occasionally,1,sober
91573253,1,never,0,never
91573254,2,never,0,never
91573258,2,never,0,never
91573259,2,never,0,never
91573291,2,occasionally,0,never
91573310,1,never,0,never
91573320,2,never,0,never
91573323,1,never,0,never
91573329,2,never,0,never
91573334,2,frequently,1,sober
91573395,2,never,1,never
91573410,2,never,0,never
91573414,1,never,0,never
91573417,2,never,0,never
91573419,2,frequently,0,never
91573491,1,never,0,never
91573516,1,occasionally,1,sober
91573615,2,never,0,never
91573637,1,never,0,never
91573708,2,never,0,never
91573811,1,occasionally,1,sober
91573902,2,never,0,never
91573926,1,never,NA,never
91573940,1,occasionally,0,never
91573944,1,occasionally,1,sober
91573948,1,never,0,never
91573951,1,never,0,never
91573955,1,never,0,never
91573956,1,never,0,never
91573958,1,never,0,never
91574049,1,occasionally,1,sober
91574118,1,never,1,never
91574121,1,never,0,never
91574143,1,never,0,never
91574203,2,never,0,never
91574231,2,never,1,sober
91574308,1,never,0,never
91574337,1,never,1,never
91574399,2,never,0,never
91574403,2,never,0,never
91574430,1,never,1,never
91574492,1,frequently,1,sober
91574504,2,occasionally,0,never
91574594,1,never,0,never
91574604,1,occasionally,1,sober
91574632,2,occasionally,1,sober
91574688,2,never,1,never
91574694,2,frequently,1,sober
91574696,1,never,1,intoxicated
91574790,2,occasionally,1,sober
91574796,2,never,0,never
91574811,2,never,0,never
91574816,1,never,1,sober
91574915,1,never,0,never
91574916,2,occasionally,1,sober
91574923,2,never,1,sober
91574993,1,never,1,never
